@relation iris_versicolour
@attribute 1 REAL
@attribute 2 REAL
@attribute 3 REAL
@attribute 4 REAL
@attribute class {outlier,target}
@data
5.8,2.7,4.1,1,target
6,2.2,4,1,target
5.7,2.9,4.2,1.3,target
5.4,3,4.5,1.5,target
5.5,2.6,4.4,1.2,target
5.7,3,4.2,1.2,target
6.4,2.9,4.3,1.3,target
7,3.2,4.7,1.4,target
5.5,2.4,3.7,1,target
6.9,3.1,4.9,1.5,target
6.6,2.9,4.6,1.3,target
5.5,2.4,3.8,1.1,target
6.4,3.2,4.5,1.5,target
6.6,3,4.4,1.4,target
5.8,2.6,4,1.2,target
6.2,2.9,4.3,1.3,target
5.9,3,4.2,1.5,target
6.8,2.8,4.8,1.4,target
5.6,2.5,3.9,1.1,target
6.1,2.9,4.7,1.4,target
6,3.4,4.5,1.6,target
5.9,3.2,4.8,1.8,target
5.6,3,4.1,1.3,target
5.6,2.9,3.6,1.3,target
6,2.9,4.5,1.5,target
5.6,3,4.5,1.5,target
5.8,2.7,3.9,1.2,target
6,2.7,5.1,1.6,target
6.7,3,5,1.7,target
6.1,2.8,4.7,1.2,target
5.7,2.8,4.1,1.3,target
5,2,3.5,1,target
5.7,2.6,3.5,1,target
5.5,2.5,4,1.3,target
5.6,2.7,4.2,1.3,target
5.2,2.7,3.9,1.4,target
6.7,3.1,4.7,1.5,target
6.1,2.8,4,1.3,target
5.5,2.3,4,1.3,target
5.7,2.8,4.5,1.3,target
4.9,2.4,3.3,1,target
6.3,2.5,4.9,1.5,target
6.7,3.1,4.4,1.4,target
6.5,2.8,4.6,1.5,target
6.2,2.2,4.5,1.5,target
