@relation iris_virginica
@attribute 1 REAL
@attribute 2 REAL
@attribute 3 REAL
@attribute 4 REAL
@attribute class {outlier,target}
@data
6.5,3.2,5.1,2,target
6.3,3.4,5.6,2.4,target
7.6,3,6.6,2.1,target
6.9,3.2,5.7,2.3,target
7.7,2.6,6.9,2.3,target
6.4,2.7,5.3,1.9,target
5.8,2.7,5.1,1.9,target
6.4,2.8,5.6,2.2,target
6.3,2.5,5,1.9,target
7.2,3,5.8,1.6,target
5.6,2.8,4.9,2,target
6.1,2.6,5.6,1.4,target
7.7,2.8,6.7,2,target
6.1,3,4.9,1.8,target
6.7,3.1,5.6,2.4,target
6.3,2.8,5.1,1.5,target
6.2,3.4,5.4,2.3,target
7.4,2.8,6.1,1.9,target
5.7,2.5,5,2,target
6.5,3,5.2,2,target
6.3,3.3,6,2.5,target
6.3,2.7,4.9,1.8,target
5.8,2.8,5.1,2.4,target
7.2,3.6,6.1,2.5,target
6.7,3.3,5.7,2.1,target
6.9,3.1,5.1,2.3,target
7.3,2.9,6.3,1.8,target
6.4,3.2,5.3,2.3,target
6.2,2.8,4.8,1.8,target
6,2.2,5,1.5,target
5.8,2.7,5.1,1.9,target
6.3,2.9,5.6,1.8,target
4.9,2.5,4.5,1.7,target
6.7,2.5,5.8,1.8,target
7.1,3,5.9,2.1,target
6.9,3.1,5.4,2.1,target
6.5,3,5.5,1.8,target
7.9,3.8,6.4,2,target
6,3,4.8,1.8,target
7.7,3.8,6.7,2.2,target
6.4,3.1,5.5,1.8,target
7.2,3.2,6,1.8,target
6.7,3.3,5.7,2.5,target
6.7,3,5.2,2.3,target
5.9,3,5.1,1.8,target
